Species,time,WW,BD,Replicate,ID,Ammonium,Phosphate,Nitrite,Nitrate,Vol_incub
fulgida,420,NA,NA,2T3,fulgida-2T3,16.47302112,1.14,0.59,16.95,3.825
fulgida,480,NA,NA,2T3,fulgida-2T3,16.55055333,1.14,0.58,17,3.8
fulgida,0,NA,NA,C1,fulgida-C1,-2.250612198,1.1,0.55,16.67,3
fulgida,60,NA,NA,C1,fulgida-C1,-2.390056454,1.1,0.55,16.77,2.975
fulgida,120,NA,NA,C1,fulgida-C1,-2.443508342,1.1,0.55,16.82,2.95
fulgida,180,NA,NA,C1,fulgida-C1,-2.435434396,1.1,0.55,16.82,2.925
fulgida,240,NA,NA,C1,fulgida-C1,-2.48801436,1.1,0.55,16.86,2.9
fulgida,300,NA,NA,C1,fulgida-C1,-2.59082312,1.1,0.56,16.84,2.875
fulgida,360,NA,NA,C1,fulgida-C1,-2.606420071,1.09,0.56,16.88,2.85
fulgida,420,NA,NA,C1,fulgida-C1,-2.671713672,1.09,0.56,16.9,2.825
fulgida,480,NA,NA,C1,fulgida-C1,-2.619230629,1.09,0.56,17.21,2.8
fulgida,0,NA,NA,C2,fulgida-C2,-1.990128036,1.1,0.55,16.81,3
fulgida,60,NA,NA,C2,fulgida-C2,2.83593019,1.09,0.55,16.56,2.975
fulgida,120,NA,NA,C2,fulgida-C2,6.692999938,1.09,0.56,16.58,2.95
fulgida,180,NA,NA,C2,fulgida-C2,10.29196286,1.09,0.55,16.62,2.925
fulgida,240,NA,NA,C2,fulgida-C2,13.14749885,1.09,0.55,16.64,2.9
fulgida,300,NA,NA,C2,fulgida-C2,14.74335705,1.09,0.55,16.65,2.875
fulgida,360,NA,NA,C2,fulgida-C2,15.80178432,1.09,0.55,16.71,2.85
fulgida,420,NA,NA,C2,fulgida-C2,15.84508343,1.09,0.55,16.65,2.825
fulgida,480,NA,NA,C2,fulgida-C2,16.03594312,1.09,0.55,16.65,2.8
